Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Davao City,1776949.0,99.0,84914.8042377875,31.54,94.27121102248006,5.131749191854246,,,,,,20.73813683,0.0,0.3434959968106752,,,500.0,412.0,645.0,629.0,229.0,614.0
Daegu,2461002.0,331.0,19308.71111121,,109.654871122761,1.719468043399049,942.5462844149636,25.9633779721235,,,,,0.43423793167147,,,,310.0,653.0,326.0,225.0,389.0,148.0
Daejeon,1475221.0,205.0,18937.5996048189,,,2.341444561881716,1907.795001557482,14.3949044585987,0.44,0.28,,,0.310668010174886,,,,345.0,614.0,569.0,244.0,475.0,148.0
Gwangju,1490092.0,194.0,16149.7020518739,,129.304286718201,1.909986807453414,3314.574287696867,13.5081967213114,0.36,0.6900000000000001,,,0.202428982487119,0.653727926014055,,,318.0,601.0,547.0,149.0,362.0,148.0
Ulsan,1166033.0,199.0,13024.3393594251,,203.1782065834279,4.478870327504083,1299.300010425354,,,,,,0.0,,,,369.0,783.0,559.0,240.0,415.0,148.0
Kazan,1243500.0,302.0,10873.9571132635,31.93,356.9721115537849,2.423548782156363,3683.358771705858,,0.33,0.67,,,0.136794159588587,,,,571.0,590.0,293.0,570.0,654.0,946.0
Nizhny Novgorod,1264075.0,269.0,10964.2322224096,,524.1590214067278,1.484523866792174,4456.437454656016,,,,134.62,,0.145156144585254,,,,,,,,,
Novosibirsk,1625631.0,307.0,10540.4093643465,31.14,446.3470319634703,1.971131337426063,952.2945241349564,9.32679660408944,,,215.56,,0.172662078202143,,,,570.0,453.0,375.0,597.0,705.0,946.0
Samara,1169719.0,210.0,11910.9362025822,,225.8953168044077,2.928363235276191,1711.546728107098,9.81743024457457,,,,,0.135871536460716,,,,884.0,981.0,627.0,657.0,659.0,946.0
Yekaterinburg,1468833.0,250.0,11819.8255985912,34.52,434.6629986244842,2.126282825604971,10851.40289342454,8.20865881106845,,,,,0.143815863973234,,,,,,,,,
